Chữ in hoa,Chữ in hoa.1,Chữ in hoa.2,Chữ in hoa.3,Unnamed: 4,Chữ thường,Chữ thường.1,Chữ thường.2,Chữ thường.3
,Lề trái,Giữa,Lề phải,,,Lề trái,Giữa,Lề phải
A,015,5710,029,,a,505,4290,615
Ă,015,5710,029,,ă,505,4290,615
Â,015,5710,029,,â,505,4290,615
B,776,4619,644,,b,644,4290,564
C,688,4619,461,,c,520,4275,344
D,776,4619,673,,d,578,4290,615
Đ,059,5490,520,,đ,578,4905,000
E,776,4275,534,,e,505,4290,490
Ê,776,4275,534,,ê,505,4290,490
F,776,4261,476,,f,234,3192,095
G,673,4795,644,,g,505,4305,630
H,776,4649,776,,h,630,4290,637
I,776,1413,791,,i,630,1442,622
J,073,4305,520,,j,015,2277,417
K,805,5322,212,,k,630,5007,059
L,791,4261,300,,l,630,2145,249
M,776,6420,776,,m,630,7152,622
N,776,4993,776,,n,608,4290,644
O,673,4810,673,,o,520,4290,512
Ô,673,4810,673,,ô,520,4290,512
Ơ,600,5542,015,,ơ,373,5139,029
P,776,4634,242,,p,644,4290,505
Q,490,5622,000,,q,564,4290,630
R,761,5190,220,,r,630,3302,264
S,388,4919,490,,s,329,4290,322
T,234,4883,227,,t,073,3031,432
U,776,4649,761,,u,644,4290,622
Ư,483,5952,037,,ư,425,5600,000
V,088,5351,088,,v,000,4993,000
W,088,7855,088,,w,059,7496,029
X,132,5534,088,,x,000,4978,000
Y,000,5337,000,,y,000,4993,000
Z,476,4290,403,,z,329,3895,344
